ex_name,run_id,bottleneck_tput,q_size,scheme_a,scheme_b,rtprop_a,rtprop_b,runtime,loss,interval_fairness,time_to_max_fairness,delay,throughput,duration,throughput_rsd1,throughput_rsd2,throughput_rsd3,throughput_rsd4,throughput_rsd5,throughput_rsd6,95percentile_bottleneck_delay,bottleneck_rtprop,converged_tput,flow_data,group_interval_fairness,group_overall_fairness,mean_bottleneck_delay,overall_fairness,scheme_a_tput,scheme_b_tput
3xcopa0ms_3xcopa0ms_queue1500000B,1,12,1500000,copa,copa,0,0,90,0.008917612982963119,0.9616229332360213,60.0,,11.824015772067186,90007.225,0.7533604505863281,0.37463452065092645,0.2209656467825259,0.2933995681775248,0.1810727503916038,0.25289467491027706,958.563,50.0,11.970617,"{1: {'delay': 906.261, 'loss': 0.005232640142499911, 'tput': 3.189538896400527}, 'all': {'delay': 958.563, 'loss': 0.008917612982963119, 'tput': 11.824015772067186}, 3: {'delay': 958.513, 'loss': 0.008055145707229094, 'tput': 2.4195588444047282}, 4: {'delay': 979.065, 'loss': 0.011916304074533701, 'tput': 1.8887894110845211}, 5: {'delay': 963.001, 'loss': 0.011111405051763668, 'tput': 2.0170709531425075}, 6: {'delay': 983.242, 'loss': 0.01240597611293004, 'tput': 1.8145699917386071}, 2: {'delay': 954.162, 'loss': 0.009311297266231144, 'tput': 2.1558576441096142}}",0.9932088797383374,0.9965369601087032,325.287943437707,0.9911481099148864,6.338141,5.632476
3xcopa0ms_3xcopa0ms_queue248584B,1,12,248584,copa,copa,0,0,90,0.0004995583641628221,0.9991965876888019,63.5,,11.373936267904286,90008.683,0.7934928318788628,0.4638436890805429,0.3313977168919698,0.19032815069620354,0.1737529792563635,0.13942880364525168,56.926,50.0,11.472629999999999,"{1: {'delay': 57.145, 'loss': 0.0004986515949435555, 'tput': 2.779635553819536}, 'all': {'delay': 56.926, 'loss': 0.0004995583641628221, 'tput': 11.373936267904286}, 3: {'delay': 56.858, 'loss': 0.000593116202109667, 'tput': 2.1033205365226086}, 4: {'delay': 56.623, 'loss': 0.0005758908060403689, 'tput': 2.021755034065627}, 5: {'delay': 56.654, 'loss': 0.0002733962970458137, 'tput': 1.9562047383416263}, 6: {'delay': 56.54, 'loss': 0.0007189750418217233, 'tput': 1.8683658777842962}, 2: {'delay': 57.649, 'loss': 0.0003829930151240113, 'tput': 2.299937989008518}}",0.9998781878246294,0.9999852445072283,39.77639326376868,0.999765266093274,5.71428,5.75835
3xcopa0ms_3xcopa0ms_queue184234B,1,12,184234,copa,copa,0,0,90,0.0015265682199236963,0.9789900777883433,37.5,,11.54793759382962,90006.22799999999,0.7811257465285347,0.5681758135407089,0.4423881941336428,0.31724535842071927,0.23031742524559937,0.31511641134560425,128.707,50.0,11.55145426356589,"{1: {'delay': 122.263, 'loss': 0.0012897920516800054, 'tput': 2.6360032244985976}, 'all': {'delay': 128.707, 'loss': 0.0015265682199236963, 'tput': 11.54793759382962}, 3: {'delay': 133.941, 'loss': 0.0011116692443761123, 'tput': 2.33769562758666}, 4: {'delay': 134.378, 'loss': 0.0017058138427115122, 'tput': 1.985504075299315}, 5: {'delay': 129.824, 'loss': 0.002879638622081737, 'tput': 1.9914096472394653}, 6: {'delay': 115.891, 'loss': 0.0015086797055869905, 'tput': 1.899635426956698}, 2: {'delay': 130.583, 'loss': 0.0011367035784369817, 'tput': 2.3983700203841565}}",0.9953300162402217,0.9998505586527212,51.03718318700377,0.9994387573827742,5.8463384806201555,5.705115782945736
3xcopa0ms_3xcopa0ms_queue610635B,1,12,610635,copa,copa,0,0,90,0.0003648390336162821,0.986429646733481,25.5,,11.41247334637421,90009.799,0.8332009175340027,0.4151524648516239,0.36546422959054564,0.17710573805453833,0.1775173167254588,0.15957682159771325,55.874,50.0,11.528996713178294,"{1: {'delay': 55.783, 'loss': 0.00029932529009613074, 'tput': 2.77866752951429}, 'all': {'delay': 55.874, 'loss': 0.0003648390336162821, 'tput': 11.41247334637421}, 3: {'delay': 56.316, 'loss': 0.0004345281247399857, 'tput': 2.1534890088286183}, 4: {'delay': 55.897, 'loss': 0.0002543217304659118, 'tput': 1.9628219249755352}, 5: {'delay': 56.062, 'loss': 0.0005419378464457392, 'tput': 1.9871052993569858}, 6: {'delay': 55.469, 'loss': 0.0005973666851152304, 'tput': 1.9285189473681617}, 2: {'delay': 55.728, 'loss': 0.00019354736252841231, 'tput': 2.2750627395153193}}",0.9972342167552151,0.9999997300398117,39.47170646013667,0.9999015479418301,5.767493457364341,5.761503255813953
3xcopa0ms_3xcopa0ms_queue101196B,1,12,101196,copa,copa,0,0,90,0.001042069898611997,0.9880531844293325,48.5,,11.3836728868216,90009.923,0.7772742506486239,0.5866070230487032,0.2321969740944578,0.23179858392105768,0.16468579420605187,0.14243660204192182,57.967,50.0,11.463692899224807,"{1: {'delay': 59.518, 'loss': 0.0005700978933358414, 'tput': 2.633957512709229}, 'all': {'delay': 57.967, 'loss': 0.001042069898611997, 'tput': 11.3836728868216}, 3: {'delay': 57.499, 'loss': 0.0018365099701410648, 'tput': 2.1026217389256754}, 4: {'delay': 58.154, 'loss': 0.0012298887329025288, 'tput': 1.9937319841478505}, 5: {'delay': 58.437, 'loss': 0.001322488404536304, 'tput': 1.9758445496594434}, 6: {'delay': 57.206, 'loss': 0.0008256983721718347, 'tput': 1.8502154233723136}, 2: {'delay': 57.317, 'loss': 0.0007451305581883672, 'tput': 2.4870221570546645}}",0.9981749050894675,0.9998748071319307,40.04922810991165,0.999661471736549,5.795983875968993,5.667709023255814
3xcopa0ms_3xcopa0ms_queue823920B,1,12,823920,copa,copa,0,0,90,0.0004179800077801499,0.9824328322175861,12.0,,11.260567095289225,90006.073,0.7928508755743598,0.3419149694567381,0.20959476733301285,0.20912420974799592,0.19578155453482457,0.1930867769985352,56.469,50.0,11.479665116279069,"{1: {'delay': 56.227, 'loss': 0.0001471664422273422, 'tput': 2.826426487743485}, 'all': {'delay': 56.469, 'loss': 0.0004179800077801499, 'tput': 11.260567095289225}, 3: {'delay': 56.625, 'loss': 0.0003726859363666346, 'tput': 2.0753352523221786}, 4: {'delay': 56.488, 'loss': 0.0006767569978192167, 'tput': 1.966079924345793}, 5: {'delay': 56.771, 'loss': 0.0005519737543556724, 'tput': 1.937943413986554}, 6: {'delay': 56.504, 'loss': 0.0004838827346174135, 'tput': 1.9838481047711334}, 2: {'delay': 56.3, 'loss': 0.0004817591514827413, 'tput': 2.132240811273297}}",0.996890236201235,0.9999804995148196,39.27977675647056,0.9995011933651307,5.714485581395349,5.765179534883721
3xcopa0ms_3xcopa0ms_queue335410B,1,12,335410,copa,copa,0,0,90,0.002200202499982873,0.9848191026803493,47.0,,11.587771523877427,89959.86,0.86626109172543,0.36946457552562717,0.3165436650855976,0.22654656690756086,0.19432819525965775,0.2719859068725641,231.349,50.0,11.704067,"{1: {'delay': 204.747, 'loss': 0.0012019335494845018, 'tput': 2.935931047727306}, 'all': {'delay': 231.349, 'loss': 0.002200202499982873, 'tput': 11.587771523877427}, 3: {'delay': 237.328, 'loss': 0.003374579397106947, 'tput': 2.2079156632808274}, 4: {'delay': 230.7, 'loss': 0.002673735808936706, 'tput': 1.9420853899988428}, 5: {'delay': 237.236, 'loss': 0.002602402297072537, 'tput': 1.9423748526832}, 6: {'delay': 232.693, 'loss': 0.002224967548539847, 'tput': 2.0458809158356015}, 2: {'delay': 230.949, 'loss': 0.00182241571327324, 'tput': 2.213125013881256}}",0.9979998664080445,0.9999561434934588,82.8961770347237,0.9972871130728659,5.890789,5.813278
3xcopa0ms_3xcopa0ms_queue452563B,1,12,452563,copa,copa,0,0,90,0.0006320663550785088,0.9886225168595397,35.0,,11.595892259033876,90004.799,0.8009639651814313,0.5679643805061706,0.4455867088156215,0.2603479000311216,0.3099596797091559,0.2323490931012807,258.025,50.0,11.619095999999999,"{1: {'delay': 248.308, 'loss': 0.0005193980675921583, 'tput': 2.6465882160096403}, 'all': {'delay': 258.025, 'loss': 0.0006320663550785088, 'tput': 11.595892259033876}, 3: {'delay': 264.212, 'loss': 0.0006376554748143137, 'tput': 2.374557099713836}, 4: {'delay': 269.723, 'loss': 0.0005512339493948248, 'tput': 2.062469549010952}, 5: {'delay': 262.476, 'loss': 0.0008268603397854069, 'tput': 1.907688606574051}, 6: {'delay': 204.122, 'loss': 0.0012456254495895047, 'tput': 1.8106280719226737}, 2: {'delay': 258.583, 'loss': 0.00034848757608341163, 'tput': 2.475315571545443}}",0.9977225156991135,0.9994115202182854,78.66930156377028,0.9978515435196721,5.950521,5.668575
3xcopa0ms_3xcopa0ms_queue1111701B,1,12,1111701,copa,copa,0,0,90,0.002553733936144109,0.8936276657766169,60.5,,11.893111393420568,90006.82400000001,0.6090640738741376,0.22789738738355042,0.4427622665282751,0.27741747221797197,0.2938669517133412,0.619027278516209,686.853,50.0,11.970846759689923,"{1: {'delay': 652.874, 'loss': 0.00138321081463888, 'tput': 3.595636432934451}, 'all': {'delay': 686.853, 'loss': 0.002553733936144109, 'tput': 11.893111393420568}, 3: {'delay': 709.761, 'loss': 0.0023227317147819226, 'tput': 2.8376824182187974}, 4: {'delay': 715.563, 'loss': 0.004145597604389817, 'tput': 1.3083211993556982}, 5: {'delay': 704.006, 'loss': 0.004768930540649752, 'tput': 0.8899488954293975}, 6: {'delay': 491.157, 'loss': 0.0036920769874804193, 'tput': 1.6146560709836304}, 2: {'delay': 695.666, 'loss': 0.002624036030167698, 'tput': 3.0062522113012484}}",0.9657298173444175,0.879679238324036,284.22792894566606,0.8710935140856287,8.199042976744186,3.7718037829457365
3xcopa0ms_3xcopa0ms_queue75000B,1,12,75000,copa,copa,0,0,90,0.0030410943774894506,0.9857653912000967,37.0,,11.437853370629421,90008.011,0.7617587408848077,0.5136511251460271,0.24573986006671925,0.20572494134196506,0.15802455053598766,0.13597951238891537,59.711,50.0,11.537735441860466,"{1: {'delay': 59.184, 'loss': 0.0026325762348122783, 'tput': 2.8425841143302075}, 'all': {'delay': 59.711, 'loss': 0.0030410943774894506, 'tput': 11.437853370629421}, 3: {'delay': 61.214, 'loss': 0.003141652506178483, 'tput': 2.09880359960508}, 4: {'delay': 58.395, 'loss': 0.003626784548183215, 'tput': 1.993607818772701}, 5: {'delay': 60.522, 'loss': 0.003318531681155701, 'tput': 1.9245928806218986}, 6: {'delay': 60.469, 'loss': 0.0031780750605072683, 'tput': 1.8712595934609724}, 2: {'delay': 59.762, 'loss': 0.0027707293285943457, 'tput': 2.3527085969059582}}",0.9965095445302284,0.9997292063120562,40.57600705308278,0.9995395949325173,5.863811968992248,5.673923472868217
